,movie_code,duration,facenumber_in_poster,country,budget,gross,num_voted_users,num_user_for_reviews,num_critic_for_reviews,movie_facebook_likes,director_facebook_likes,actor_1_facebook_likes,actor_2_facebook_likes,actor_3_facebook_likes,cast_total_facebook_likes,imdb_score,imdb_score_class
4106,4107,86.0,4.0,Canada,3000000.0,703002.0,37495,230.0,272.0,37000,59.0,694.0,324.0,104.0,1249,6.1,Good
3946,3947,112.0,0.0,Australia,16000000.0,317125.0,23334,87.0,141.0,0,105.0,18000.0,6000.0,748.0,25269,6.2,Good
222,223,127.0,0.0,USA,120000000.0,124976634.0,440084,755.0,552.0,122000,0.0,774.0,358.0,341.0,2121,8.0,Good
4656,4657,86.0,2.0,USA,990000.0,,2706,23.0,16.0,549,63.0,489.0,207.0,175.0,1278,4.9,Fair
4158,4159,95.0,0.0,USA,2000000.0,952620.0,40800,332.0,280.0,0,0.0,569.0,529.0,192.0,1797,5.7,Fair
5016,5017,90.0,1.0,USA,22000.0,,114,3.0,1.0,200,138.0,370.0,184.0,138.0,841,3.3,Bad
919,920,178.0,2.0,USA,52000000.0,42438300.0,333542,533.0,133.0,11000,17000.0,22000.0,721.0,574.0,24183,8.2,Excellent
3516,3517,100.0,0.0,UK,,2209479.0,844,34.0,9.0,962,0.0,2000.0,627.0,149.0,2909,5.8,Fair
3482,3483,125.0,3.0,UK,13000000.0,21000000.0,73950,258.0,118.0,2000,82.0,16000.0,387.0,244.0,17611,6.8,Good
34,35,104.0,0.0,USA,200000000.0,268488329.0,235025,265.0,376.0,44000,37.0,12000.0,779.0,760.0,14863,7.3,Good
1752,1753,102.0,1.0,USA,29000000.0,55845943.0,130094,471.0,178.0,0,0.0,40000.0,4000.0,876.0,46186,6.4,Good
394,395,106.0,2.0,USA,38000000.0,144512310.0,272223,988.0,187.0,14000,357.0,23000.0,14000.0,4000.0,45327,6.7,Good
4131,4132,83.0,2.0,USA,,,16987,85.0,98.0,0,136.0,3000.0,1000.0,975.0,7191,5.5,Fair
1123,1124,220.0,2.0,USA,57000000.0,15527125.0,11388,183.0,85.0,652,0.0,13000.0,861.0,820.0,15006,5.8,Fair
